,name,group_order,prd_tuples
0,A_2^1,2,"[(2, 1, 1)]"
1,B_2^1,2,"[(2, 1, 2)]"
2,A_3^1,3,"[(3, 1, 1)]"
3,B_3^1,3,"[(3, 1, 2)]"
4,A_2^2,4,"[(2, 2, 1)]"
5,B_2^2,4,"[(2, 2, 2)]"
6,C_2^2,4,"[(2, 2, 3)]"
7,D_2^2,4,"[(2, 2, 4)]"
8,A_2^1+A_2^1,4,"[(2, 1, 1), (2, 1, 1)]"
9,A_2^1+B_2^1,4,"[(2, 1, 1), (2, 1, 2)]"
10,B_2^1+B_2^1,4,"[(2, 1, 2), (2, 1, 2)]"
11,E_2^1,4,"[(2, 1, 5)]"
12,F_2^1,4,"[(2, 1, 6)]"
13,A_5^1,5,"[(5, 1, 1)]"
14,B_5^1,5,"[(5, 1, 2)]"
15,A_2^1+A_3^1,6,"[(2, 1, 1), (3, 1, 1)]"
16,B_2^1+A_3^1,6,"[(2, 1, 2), (3, 1, 1)]"
17,A_2^1+B_3^1,6,"[(2, 1, 1), (3, 1, 2)]"
18,B_2^1+B_3^1,6,"[(2, 1, 2), (3, 1, 2)]"
19,A_7^1,7,"[(7, 1, 1)]"
20,B_7^1,7,"[(7, 1, 2)]"
21,A_2^3,8,"[(2, 3, 1)]"
22,B_2^3,8,"[(2, 3, 2)]"
23,C_2^3,8,"[(2, 3, 3)]"
24,D_2^3,8,"[(2, 3, 4)]"
25,A_2^2+A_2^1,8,"[(2, 2, 1), (2, 1, 1)]"
26,B_2^2+A_2^1,8,"[(2, 2, 2), (2, 1, 1)]"
27,C_2^2+A_2^1,8,"[(2, 2, 3), (2, 1, 1)]"
28,D_2^2+A_2^1,8,"[(2, 2, 4), (2, 1, 1)]"
29,A_2^1+A_2^1+A_2^1,8,"[(2, 1, 1), (2, 1, 1), (2, 1, 1)]"
30,A_2^1+A_2^1+B_2^1,8,"[(2, 1, 1), (2, 1, 1), (2, 1, 2)]"
31,A_2^1+B_2^1+B_2^1,8,"[(2, 1, 1), (2, 1, 2), (2, 1, 2)]"
32,B_2^1+B_2^1+B_2^1,8,"[(2, 1, 2), (2, 1, 2), (2, 1, 2)]"
33,A_3^2,9,"[(3, 2, 1)]"
34,B_3^2,9,"[(3, 2, 2)]"
35,A_3^1+A_3^1,9,"[(3, 1, 1), (3, 1, 1)]"
36,A_2^1+A_5^1,10,"[(2, 1, 1), (5, 1, 1)]"
37,B_2^1+A_5^1,10,"[(2, 1, 2), (5, 1, 1)]"
38,A_2^1+B_5^1,10,"[(2, 1, 1), (5, 1, 2)]"
39,B_2^1+B_5^1,10,"[(2, 1, 2), (5, 1, 2)]"
